idTerytWojewodztwo,Województwo,idTerytPowiat,Powiat,idRodzajPlacowki,Rodzaj Placowki,idPublicznosc,Publiczność,idTypPodmiotu,Typ Podmiotu,idTypOddzialu,Typ Oddziału,idKlasa,Klasa,Liczba oddziałów,Liczba uczniów pobyt legalny
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,32,50
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,13,32
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,12,30
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,19,45
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,15,35
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,14,40
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,15,35
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,18,41
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,15,43
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,24,Wychowanie przedszkolne,4,11
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,3,5
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,5,6
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,6,9
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,7,IV,2,5
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,1,publiczna,81,Punkt przedszkolny,10,Podstawowe,24,Wychowanie przedszkolne,1,3
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,24,40
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,1,1
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,16,sem. I,3,23
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,17,sem. II,5,13
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,18,sem. III,2,3
2,DOLNOŚLĄSKIE,201,bolesławiecki,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,19,sem. IV,2,2
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,5,7
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,5,5
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,5,8
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,8,9
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,3,4
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,5,6
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,3,3
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,5,7
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,5,9
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,4,I,5,20
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,5,II,10,21
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,6,III,9,17
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,7,23
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,7,22
2,DOLNOŚLĄSKIE,201,bolesławiecki,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,5,9
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,25,36
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,12,17
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,14,27
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,18,35
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,16,29
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,18,38
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,11,21
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,12,25
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,12,24
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,6,9
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,6,8
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,6,8
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,11,Oddział przygotowawczy,.,,1,14
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,12,18
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,6,III,2,4
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,8,V,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,2,2
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,2,2
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,4,I,4,6
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,5,II,4,7
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,6,III,7,11
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,8,V,2,2
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,3,5
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,1,3
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,1,3
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,1,3
2,DOLNOŚLĄSKIE,202,dzierżoniowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,1,2
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,32,42
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,9,28
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,6,15
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,12,22
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,11,27
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,7,18
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,12,31
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,9,23
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,10,23
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,3,6
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,4,6
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,17,24
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,5,II,1,2
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,2,3
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,17,sem. II,1,2
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,19,sem. IV,2,2
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,14,Liceum ogólnokształcące,10,Podstawowe,21,sem. VI,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,16,sem. I,1,1
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,17,sem. II,2,3
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,18,sem. III,2,4
2,DOLNOŚLĄSKIE,203,głogowski,1,samodzielna,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,19,sem. IV,2,3
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,4,I,5,14
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,5,II,4,4
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,6,III,2,2
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,20,Szkoła specjalna przysposabiająca do pracy,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,5,8
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,4,6
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,3,4
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,16,sem. I,1,3
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,17,sem. II,6,17
2,DOLNOŚLĄSKIE,203,głogowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,4,niepubliczna,19,Szkoła policealna,10,Podstawowe,19,sem. IV,3,4
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,1,1
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,1,1
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,1,1
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,3,3
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,2,3
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,204,górowski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,2,2
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,2,2
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,2,2
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,24,Wychowanie przedszkolne,1,1
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,4,I,2,3
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,6,III,2,3
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,2,2
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,1,2
2,DOLNOŚLĄSKIE,204,górowski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,11,21
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,7,18
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,5,10
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,5,9
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,6,11
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,4,7
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,6,12
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,10,VII,6,13
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,11,VIII,7,20
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,24,Wychowanie przedszkolne,2,3
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,4,I,3,4
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,5,II,3,5
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,6,III,3,5
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,1,publiczna,14,Liceum ogólnokształcące,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,205,jaworski,1,samodzielna,4,niepubliczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,1,2
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,4,5
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,2,2
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,1,1
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,1,2
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,3,3
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,4,I,3,6
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,5,II,3,5
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,16,Technikum,10,Podstawowe,6,III,2,2
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,19,Szkoła policealna,10,Podstawowe,17,sem. II,1,1
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,4,I,2,3
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,5,II,2,2
2,DOLNOŚLĄSKIE,205,jaworski,7,szkoła/placówka wchodząca w skład jednostki złożonej,1,publiczna,93,Branżowa szkoła I stopnia,10,Podstawowe,6,III,1,1
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,1,Przedszkole,10,Podstawowe,24,Wychowanie przedszkolne,16,22
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,4,I,7,11
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,5,II,5,14
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,6,III,11,17
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,7,IV,7,18
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,8,V,7,13
2,DOLNOŚLĄSKIE,206,karkonoski,1,samodzielna,1,publiczna,3,Szkoła podstawowa,10,Podstawowe,9,VI,9,25
